SUBJ_ID	#TRIAL_FLOW	trial_counter	T.CSM	T.CS_EE	T.CS_UU	ReliefChoiceCS	ReliefCS
RS03	Extinction_phase	32	0	0	1	1	0
RS03	Extinction_phase	33	0	1	0	1	0
RS03	Extinction_phase	34	0	0	1	2	7
RS03	Extinction_phase	35	0	1	0	1	0
RS03	Extinction_phase	36	1	0	0	1	0
RS03	Extinction_phase	37	0	0	1	1	0
RS03	Extinction_phase	38	0	1	0	1	0
RS03	Extinction_phase	39	1	0	0	2	14
RS03	Extinction_phase	40	0	1	0	2	12
RS03	Extinction_phase	41	0	1	0	2	12
RS03	Extinction_phase	42	1	0	0	2	16
RS03	Extinction_phase	43	1	0	0	2	14
RS03	Extinction_phase	44	0	1	0	2	6
RS03	Extinction_phase	45	0	1	0	2	9
RS03	Extinction_phase	46	0	0	1	2	7
RS04	Pavlovian_phase	1	1	0	0	1	0
RS04	Pavlovian_phase	2	0	1	0	1	0
RS04	Pavlovian_phase	3	0	1	0	1	0
RS04	Pavlovian_phase	4	1	0	0	2	13
RS04	Pavlovian_phase	5	1	0	0	2	34
RS04	Pavlovian_phase	6	0	1	0	1	0
RS04	Pavlovian_phase	7	1	0	0	2	31
RS04	Pavlovian_phase	8	0	1	0	1	0
RS04	Pavlovian_phase	9	0	1	0	1	0
RS04	Pavlovian_phase	10	0	0	1	1	0
RS04	Pavlovian_phase	11	0	1	0	1	0
RS04	Pavlovian_phase	12	0	0	1	1	0
RS04	Pavlovian_phase	13	0	1	0	1	0
RS04	Pavlovian_phase	14	0	0	1	1	0
RS04	Pavlovian_phase	15	1	0	0	2	36
RS04	Pavlovian_phase	16	0	0	1	1	0
RS04	Pavlovian_phase	17	0	0	1	1	0
RS04	Pavlovian_phase	18	0	1	0	1	0
RS04	Pavlovian_phase	19	0	1	0	1	0
RS04	Pavlovian_phase	20	0	0	1	2	45
RS04	Pavlovian_phase	21	1	0	0	2	59
RS04	Pavlovian_phase	22	0	0	1	2	19
RS04	Pavlovian_phase	23	0	1	0	1	0
RS04	Pavlovian_phase	24	0	1	0	1	0
RS04	Pavlovian_phase	25	0	0	1	2	35
RS04	Pavlovian_phase	26	1	0	0	2	61
RS04	Pavlovian_phase	27	1	0	0	2	57
RS04	Pavlovian_phase	28	0	1	0	1	0
RS04	Extinction_phase	29	0	0	1	1	0
RS04	Extinction_phase	30	1	0	0	1	0
RS04	Extinction_phase	31	0	1	0	1	0
RS04	Extinction_phase	32	0	0	1	1	0
RS04	Extinction_phase	33	0	1	0	1	0
RS04	Extinction_phase	34	0	1	0	1	0
RS04	Extinction_phase	35	0	0	1	1	0
RS04	Extinction_phase	36	1	0	0	1	0
RS04	Extinction_phase	37	0	1	0	1	0
RS04	Extinction_phase	38	0	1	0	1	0
RS04	Extinction_phase	39	1	0	0	1	0
RS04	Extinction_phase	40	0	0	1	1	0
RS04	Extinction_phase	41	1	0	0	1	0
RS04	Extinction_phase	42	1	0	0	1	0
RS04	Extinction_phase	43	0	0	1	1	0
RS04	Extinction_phase	44	0	1	0	1	0
RS04	Extinction_phase	45	0	1	0	1	0
RS04	Extinction_phase	46	0	1	0	1	0
RS05	Pavlovian_phase	1	1	0	0	1	0
RS05	Pavlovian_phase	2	0	1	0	1	0
RS05	Pavlovian_phase	3	1	0	0	2	13
RS05	Pavlovian_phase	4	0	1	0	1	0
RS05	Pavlovian_phase	5	1	0	0	2	21
RS05	Pavlovian_phase	6	1	0	0	2	8
RS05	Pavlovian_phase	7	0	1	0	1	0
RS05	Pavlovian_phase	8	0	1	0	1	0
RS05	Pavlovian_phase	9	0	1	0	1	0
RS05	Pavlovian_phase	10	0	0	1	1	0
RS05	Pavlovian_phase	11	0	1	0	1	0
RS05	Pavlovian_phase	12	0	0	1	1	0
RS05	Pavlovian_phase	13	0	0	1	2	10
RS05	Pavlovian_phase	14	1	0	0	2	15
RS05	Pavlovian_phase	15	0	0	1	2	15
RS05	Pavlovian_phase	16	0	1	0	1	0
RS05	Pavlovian_phase	17	0	1	0	1	0
RS05	Pavlovian_phase	18	1	0	0	2	19
RS05	Pavlovian_phase	19	1	0	0	2	21
RS05	Pavlovian_phase	20	0	1	0	1	0
RS05	Pavlovian_phase	21	0	0	1	2	13
RS05	Pavlovian_phase	22	0	0	1	2	21
RS05	Pavlovian_phase	23	0	1	0	1	0
RS05	Pavlovian_phase	24	0	1	0	1	0
RS05	Pavlovian_phase	25	0	0	1	2	21
RS05	Pavlovian_phase	26	1	0	0	2	9
RS05	Pavlovian_phase	27	0	1	0	1	0
RS05	Pavlovian_phase	28	0	0	1	1	0
RS05	Extinction_phase	29	0	0	1	1	0
RS05	Extinction_phase	30	1	0	0	1	0
RS05	Extinction_phase	31	0	1	0	1	0
RS05	Extinction_phase	32	0	1	0	1	0
RS05	Extinction_phase	33	0	0	1	2	5
RS05	Extinction_phase	34	0	0	1	2	13
RS05	Extinction_phase	35	0	1	0	2	9
RS05	Extinction_phase	36	1	0	0	1	0
RS05	Extinction_phase	37	1	0	0	2	18
RS05	Extinction_phase	38	0	1	0	1	0
RS05	Extinction_phase	39	1	0	0	2	6
RS05	Extinction_phase	40	0	1	0	1	0
RS05	Extinction_phase	41	0	1	0	2	5
RS05	Extinction_phase	42	0	0	1	2	7
RS05	Extinction_phase	43	0	1	0	1	0
RS05	Extinction_phase	44	0	0	1	1	0
RS05	Extinction_phase	45	0	1	0	1	0
RS05	Extinction_phase	46	1	0	0	1	0
RS06	Pavlovian_phase	1	0	1	0	1	0
RS06	Pavlovian_phase	2	0	1	0	1	0
RS06	Pavlovian_phase	3	1	0	0	2	40
RS06	Pavlovian_phase	4	1	0	0	2	55
RS06	Pavlovian_phase	5	0	1	0	1	0
RS06	Pavlovian_phase	6	1	0	0	2	63
RS06	Pavlovian_phase	7	0	1	0	1	0
RS06	Pavlovian_phase	8	1	0	0	2	66
RS06	Pavlovian_phase	9	0	1	0	1	0
RS06	Pavlovian_phase	10	0	0	1	1	0
RS06	Pavlovian_phase	11	0	1	0	1	0
RS06	Pavlovian_phase	12	0	0	1	2	62
RS06	Pavlovian_phase	13	0	0	1	2	69
RS06	Pavlovian_phase	14	1	0	0	2	69
RS06	Pavlovian_phase	15	0	0	1	2	81
RS06	Pavlovian_phase	16	1	0	0	2	86
RS06	Pavlovian_phase	17	0	1	0	1	0
RS06	Pavlovian_phase	18	0	1	0	1	0
RS06	Pavlovian_phase	19	1	0	0	2	83
RS06	Pavlovian_phase	20	1	0	0	2	50
RS06	Pavlovian_phase	21	0	1	0	1	0
RS06	Pavlovian_phase	22	0	0	1	2	40
RS06	Pavlovian_phase	23	0	1	0	1	0
RS06	Pavlovian_phase	24	0	0	1	2	30
RS06	Pavlovian_phase	25	0	0	1	2	32
RS06	Pavlovian_phase	26	0	1	0	1	0
RS06	Pavlovian_phase	27	0	0	1	2	26
RS06	Pavlovian_phase	28	0	1	0	1	0
RS06	Extinction_phase	29	0	1	0	1	0
RS06	Extinction_phase	30	1	0	0	1	0
RS06	Extinction_phase	31	0	1	0	2	49
RS06	Extinction_phase	32	0	1	0	2	31
RS06	Extinction_phase	33	0	0	1	1	0
RS06	Extinction_phase	34	0	0	1	2	32
RS06	Extinction_phase	35	1	0	0	2	33
RS06	Extinction_phase	36	1	0	0	2	31
RS06	Extinction_phase	37	0	0	1	1	0
RS06	Extinction_phase	38	1	0	0	1	0
RS06	Extinction_phase	39	0	1	0	1	0
RS06	Extinction_phase	40	0	1	0	1	0
RS06	Extinction_phase	41	0	0	1	1	0
RS06	Extinction_phase	42	1	0	0	1	0
RS06	Extinction_phase	43	0	1	0	1	0
RS06	Extinction_phase	44	0	1	0	1	0
RS06	Extinction_phase	45	0	0	1	1	0
RS06	Extinction_phase	46	0	1	0	1	0
RS07	Pavlovian_phase	1	0	1	0	1	0
RS07	Pavlovian_phase	2	1	0	0	2	9
RS07	Pavlovian_phase	3	0	1	0	1	0
RS07	Pavlovian_phase	4	1	0	0	2	30
RS07	Pavlovian_phase	5	0	1	0	1	0
RS07	Pavlovian_phase	6	1	0	0	2	33
RS07	Pavlovian_phase	7	1	0	0	2	50
RS07	Pavlovian_phase	8	0	1	0	2	6
RS07	Pavlovian_phase	9	0	1	0	1	0
RS07	Pavlovian_phase	10	0	1	0	1	0
RS07	Pavlovian_phase	11	0	0	1	2	11
RS07	Pavlovian_phase	12	0	0	1	2	41
RS07	Pavlovian_phase	13	1	0	0	2	69
RS07	Pavlovian_phase	14	0	0	1	2	53
RS07	Pavlovian_phase	15	1	0	0	2	49
RS07	Pavlovian_phase	16	0	1	0	1	0
RS07	Pavlovian_phase	17	0	1	0	1	0
RS07	Pavlovian_phase	18	1	0	0	2	62
RS07	Pavlovian_phase	19	0	0	1	2	43
RS07	Pavlovian_phase	20	0	1	0	1	0
RS07	Pavlovian_phase	21	0	0	1	2	61
RS07	Pavlovian_phase	22	0	0	1	2	78
RS07	Pavlovian_phase	23	1	0	0	2	87
RS07	Pavlovian_phase	24	0	1	0	1	0
RS07	Pavlovian_phase	25	0	0	1	2	89
RS07	Pavlovian_phase	26	0	1	0	1	0
RS07	Pavlovian_phase	27	0	1	0	1	0
RS07	Pavlovian_phase	28	0	0	1	2	92
RS07	Extinction_phase	29	0	0	1	2	66
RS07	Extinction_phase	30	0	0	1	2	89
RS07	Extinction_phase	31	0	1	0	1	0
RS07	Extinction_phase	32	0	1	0	1	0
RS07	Extinction_phase	33	0	0	1	2	72
RS07	Extinction_phase	34	1	0	0	1	0
RS07	Extinction_phase	35	0	0	1	2	77
RS07	Extinction_phase	36	0	1	0	2	13
RS07	Extinction_phase	37	1	0	0	2	53
RS07	Extinction_phase	38	1	0	0	2	71
RS07	Extinction_phase	39	0	0	1	2	67
RS07	Extinction_phase	40	0	1	0	2	34
