SUBJ_ID	#TRIAL_FLOW	trial_counter	ReliefChoiceUS	ReliefUS	T.CSM	T.CS_EE	T.CS_UU	shock
RS03	Pavlovian_phase	23	2	62	0	0	1	0
RS03	Pavlovian_phase	24	2	49	0	0	1	0
RS03	Pavlovian_phase	25	2	55	0	1	0	1
RS03	Pavlovian_phase	26	2	50	1	0	0	0
RS03	Pavlovian_phase	27	2	48	1	0	0	0
RS03	Pavlovian_phase	28	2	57	0	1	0	1
RS03	Extinction_phase	29	2	69	0	1	0	0
RS03	Extinction_phase	30	2	65	0	0	1	0
RS03	Extinction_phase	31	2	67	1	0	0	0
RS03	Extinction_phase	32	2	66	0	0	1	0
RS03	Extinction_phase	33	2	72	0	1	0	0
RS03	Extinction_phase	34	2	64	0	0	1	0
RS03	Extinction_phase	35	2	74	0	1	0	0
RS03	Extinction_phase	36	2	58	1	0	0	0
RS03	Extinction_phase	37	2	64	0	0	1	0
RS03	Extinction_phase	38	2	60	0	1	0	0
RS03	Extinction_phase	39	2	49	1	0	0	0
RS03	Extinction_phase	40	2	14	0	1	0	0
RS03	Extinction_phase	41	2	20	0	1	0	0
RS03	Extinction_phase	42	2	19	1	0	0	0
RS03	Extinction_phase	43	2	14	1	0	0	0
RS03	Extinction_phase	44	2	30	0	1	0	0
RS03	Extinction_phase	45	2	36	0	1	0	0
RS03	Extinction_phase	46	2	39	0	0	1	0
RS04	Pavlovian_phase	1	2	13	1	0	0	0
RS04	Pavlovian_phase	2	1	0	0	1	0	1
RS04	Pavlovian_phase	3	1	0	0	1	0	1
RS04	Pavlovian_phase	4	2	12	1	0	0	0
RS04	Pavlovian_phase	5	2	21	1	0	0	0
RS04	Pavlovian_phase	6	1	0	0	1	0	1
RS04	Pavlovian_phase	7	1	0	1	0	0	0
RS04	Pavlovian_phase	8	1	0	0	1	0	1
RS04	Pavlovian_phase	9	1	0	0	1	0	1
RS04	Pavlovian_phase	10	2	60	0	0	1	0
RS04	Pavlovian_phase	11	1	0	0	1	0	1
RS04	Pavlovian_phase	12	2	61	0	0	1	0
