ID,Config,Phase,Color,Time,value,CSType
RS47,4,Pavlovian,Yellow,first,1,CSplus
RS47,4,Pavlovian,Red,first,2,CSmin2
RS47,4,Pavlovian,Blue,last,7,CSmin1
RS47,4,Pavlovian,Yellow,last,1,CSplus
RS47,4,Pavlovian,Red,last,7,CSmin2
RS47,4,Extinction,Blue,first,2,CSmin1
RS47,4,Extinction,Yellow,first,1,CSplus
RS47,4,Extinction,Red,first,2,CSmin2
RS47,4,Extinction,Blue,last,7,CSmin1
RS47,4,Extinction,Yellow,last,6,CSplus
RS47,4,Extinction,Red,last,7,CSmin2
RS48,5,Pavlovian,Blue,first,1,CSplus
RS48,5,Pavlovian,Yellow,first,7,CSmin2
RS48,5,Pavlovian,Red,first,5,CSmin1
RS48,5,Pavlovian,Blue,last,1,CSplus
RS48,5,Pavlovian,Yellow,last,7,CSmin2
RS48,5,Pavlovian,Red,last,3,CSmin1
RS48,5,Extinction,Blue,first,4,CSplus
RS48,5,Extinction,Yellow,first,4,CSmin2
RS48,5,Extinction,Red,first,4,CSmin1
RS48,5,Extinction,Blue,last,7,CSplus
RS48,5,Extinction,Yellow,last,7,CSmin2
RS48,5,Extinction,Red,last,7,CSmin1
RS49,6,Pavlovian,Blue,first,3,CSmin2
RS49,6,Pavlovian,Yellow,first,3,CSplus
RS49,6,Pavlovian,Red,first,3,CSmin1
RS49,6,Pavlovian,Blue,last,7,CSmin2
RS49,6,Pavlovian,Yellow,last,1,CSplus
RS49,6,Pavlovian,Red,last,7,CSmin1
RS49,6,Extinction,Blue,first,3,CSmin2
RS49,6,Extinction,Yellow,first,2,CSplus
RS49,6,Extinction,Red,first,3,CSmin1
RS49,6,Extinction,Blue,last,7,CSmin2
RS49,6,Extinction,Yellow,last,7,CSplus
RS49,6,Extinction,Red,last,7,CSmin1
RS50,1,Pavlovian,Blue,first,1,CSplus
RS50,1,Pavlovian,Yellow,first,3,CSmin1
RS50,1,Pavlovian,Red,first,2,CSmin2
RS50,1,Pavlovian,Blue,last,1,CSplus
RS50,1,Pavlovian,Yellow,last,7,CSmin1
RS50,1,Pavlovian,Red,last,6,CSmin2
RS50,1,Extinction,Blue,first,2,CSplus
RS50,1,Extinction,Yellow,first,2,CSmin1
RS50,1,Extinction,Red,first,2,CSmin2
RS50,1,Extinction,Blue,last,6,CSplus
RS50,1,Extinction,Yellow,last,6,CSmin1
RS50,1,Extinction,Red,last,6,CSmin2
RS51,2,Pavlovian,Blue,first,2,CSmin2
RS51,2,Pavlovian,Yellow,first,6,CSmin1
RS51,2,Pavlovian,Red,first,1,CSplus
RS51,2,Pavlovian,Blue,last,3,CSmin2
RS51,2,Pavlovian,Yellow,last,7,CSmin1
RS51,2,Pavlovian,Red,last,1,CSplus
RS51,2,Extinction,Blue,first,7,CSmin2
RS51,2,Extinction,Yellow,first,2,CSmin1
RS51,2,Extinction,Red,first,1,CSplus
RS51,2,Extinction,Blue,last,6,CSmin2
RS51,2,Extinction,Yellow,last,3,CSmin1
RS51,2,Extinction,Red,last,3,CSplus
